asset_id,user_id,label,description,estimated_value,category,status
asset_0056,user_0068,CIB Shares,Stock market investment,13338.37,stocks,active
asset_0057,user_0069,Google Pixel 8,Personal smartphone,30492.49,property,active
asset_0058,user_0070,Vodafone Egypt Shares,Stock market investment,32288.52,stocks,active
asset_0059,user_0071,MacBook Pro,Work laptop for freelancing,41187.72,property,active
asset_0060,user_0072,ASUS ROG,Work laptop for freelancing,39694.07,property,active
asset_0061,user_0073,CIB Shares,Stock market investment,26811.59,stocks,active
asset_0062,user_0074,iPhone 14,Personal smartphone,12559.24,property,active
asset_0063,user_0075,MacBook Pro,Work laptop for freelancing,37692.49,property,active
asset_0064,user_0076,CIB Shares,Stock market investment,12885.42,stocks,active
asset_0065,user_0076,Old Laptop,Previously used work laptop — sold,6189.93,property,disposed_retired
asset_0066,user_0078,MacBook Pro,Work laptop for freelancing,48594.45,property,active
asset_0067,user_0080,Google Pixel 8,Personal smartphone,13539.05,property,active
asset_0068,user_0081,HP Spectre,Work laptop for freelancing,49511.88,property,active
asset_0069,user_0081,iPhone 15 Pro,Personal smartphone,14602.5,property,active
asset_0070,user_0082,Lenovo ThinkPad,Work laptop for freelancing,24277.88,property,active
asset_0071,user_0083,iPhone 15 Pro,Personal smartphone,33006.13,property,active
asset_0072,user_0084,Google Pixel 8,Personal smartphone,12750.59,property,active
asset_0073,user_0085,Fawry Shares,Stock market investment,22722.82,stocks,active
asset_0074,user_0089,Dell XPS,Work laptop for freelancing,28320.08,property,active
asset_0075,user_0092,Dell XPS,Work laptop for freelancing,18867.06,property,active
asset_0076,user_0094,ASUS ROG,Work laptop for freelancing,44487.21,property,active
asset_0077,user_0095,Dell XPS,Work laptop for freelancing,46516.08,property,active
asset_0078,user_0096,ASUS ROG,Work laptop for freelancing,16446.42,property,active
asset_0079,user_0097,Lenovo ThinkPad,Work laptop for freelancing,24562.21,property,active
asset_0080,user_0100,Dell XPS,Work laptop for freelancing,40118.0,property,active
asset_0081,user_0101,HP Spectre,Work laptop for freelancing,47749.4,property,active
asset_0082,user_0101,Vodafone Egypt Shares,Stock market investment,69727.4,stocks,active
asset_0083,user_0104,iPhone 14,Personal smartphone,43253.51,property,active
asset_0084,user_0105,ASUS ROG,Work laptop for freelancing,16032.48,property,active
asset_0085,user_0105,Google Pixel 8,Personal smartphone,10958.72,property,active
asset_0086,user_0107,iPhone 14,Personal smartphone,30924.75,property,active
asset_0087,user_0108,Lenovo ThinkPad,Work laptop for freelancing,22671.3,property,active
asset_0088,user_0108,Samsung Galaxy S24,Personal smartphone,44810.05,property,active
asset_0089,user_0108,Fawry Shares,Stock market investment,15258.15,stocks,active
asset_0090,user_0109,ASUS ROG,Work laptop for freelancing,19855.4,property,active
asset_0091,user_0110,HP Spectre,Work laptop for freelancing,40327.59,property,active
asset_0092,user_0110,iPhone 15 Pro,Personal smartphone,30763.12,property,active
asset_0093,user_0112,iPhone 14,Personal smartphone,27443.67,property,active
asset_0094,user_0113,ASUS ROG,Work laptop for freelancing,15441.25,property,active
asset_0095,user_0113,Old Laptop,Previously used work laptop — sold,4299.07,property,disposed_retired
asset_0096,user_0114,iPhone 14,Personal smartphone,30901.08,property,active
asset_0097,user_0115,iPhone 15 Pro,Personal smartphone,43504.34,property,active
asset_0098,user_0117,Google Pixel 8,Personal smartphone,17008.68,property,active
asset_0099,user_0119,MacBook Pro,Work laptop for freelancing,41347.69,property,active
asset_0100,user_0120,Dell XPS,Work laptop for freelancing,16537.05,property,active
