user_id,goal_name,target_amount,saved_amount,monthly_contribution,deadline
user_0060,New Laptop,15837.53,5207.35,1215.77,2025-11-15
user_0062,Emergency Fund,38429.89,17023.44,906.72,2026-03-04
user_0062,Travel,26258.7,10235.06,982.94,2026-05-06
user_0065,Emergency Fund,49273.88,15890.9,885.01,2025-06-03
user_0067,Apartment Deposit,60123.27,25970.83,235.74,2025-11-04
user_0068,Travel,15615.7,4134.17,437.9,2025-10-22
user_0068,Car,57452.28,6464.49,1107.45,2026-04-08
user_0069,Apartment Deposit,129526.27,4507.35,745.9,2025-05-05
user_0070,Car,73990.47,24051.56,617.57,2025-04-14
user_0070,Wedding,82491.31,24042.35,620.59,2026-03-05
user_0071,Travel,26400.01,6479.56,563.08,2025-06-19
user_0071,Emergency Fund,41091.98,3785.77,1228.73,2025-06-28
user_0073,New Laptop,4081.3,2004.22,430.06,2025-12-19
user_0073,Emergency Fund,11129.99,17.39,358.79,2026-06-20
user_0074,New Laptop,5258.67,1320.22,934.87,2025-11-04
user_0075,Apartment Deposit,138997.65,4830.17,947.5,2025-06-13
user_0077,Wedding,48081.13,1570.29,597.0,2026-05-04
user_0078,New Laptop,5435.96,2467.14,927.05,2025-10-31
user_0079,Travel,23532.24,9355.4,1146.24,2025-05-25
user_0079,Wedding,85637.43,37455.77,1011.96,2025-09-08
user_0080,Car,68275.99,6455.3,422.9,2025-06-24
user_0081,Travel,3747.79,901.17,188.34,2025-05-21
user_0081,Wedding,26814.53,3719.16,490.13,2025-11-11
user_0082,Wedding,98642.16,18968.85,727.39,2025-07-15
user_0083,Wedding,81526.0,23827.99,923.78,2025-06-13
user_0084,Apartment Deposit,134931.51,44397.37,852.14,2025-09-01
user_0085,Emergency Fund,9907.83,3449.69,187.89,2025-08-03
user_0086,New Laptop,3676.41,19.61,273.04,2025-04-10
user_0087,Travel,6022.79,1945.95,394.47,2026-01-24
user_0087,Apartment Deposit,65324.83,30705.98,250.44,2025-12-09
user_0088,Wedding,38215.74,16954.73,475.44,2025-04-25
user_0088,Car,18769.88,7008.99,251.83,2025-08-16
user_0089,Wedding,27457.76,13121.36,330.05,2025-10-17
user_0090,Emergency Fund,29771.32,350.12,596.24,2026-06-09
user_0091,Apartment Deposit,78785.64,36255.65,718.3,2025-11-02
user_0092,New Laptop,18565.34,6787.21,635.22,2025-11-13
user_0096,New Laptop,5597.13,2284.36,801.78,2026-02-01
user_0097,Car,23597.17,3814.77,217.37,2026-05-11
user_0097,Emergency Fund,17425.04,6557.82,199.11,2026-03-10
user_0098,Car,118013.5,4721.49,859.92,2025-07-16
user_0098,Apartment Deposit,180511.71,17002.31,1247.67,2026-04-23
user_0099,Emergency Fund,34791.43,5148.02,929.51,2025-12-26
user_0100,Wedding,24133.24,8434.02,382.92,2026-04-01
user_0100,Apartment Deposit,74472.44,20001.86,294.12,2026-01-14
user_0101,Travel,14045.19,5922.95,825.31,2026-03-01
user_0102,Car,41783.26,10523.8,290.02,2025-11-19
user_0103,Travel,4000.76,1759.41,263.36,2025-12-06
user_0105,New Laptop,5142.44,774.07,321.79,2025-04-05
user_0106,Car,48502.5,20787.53,395.02,2025-12-09
user_0106,Emergency Fund,46842.78,20880.02,1086.05,2025-08-08
user_0107,Car,93508.29,46619.97,437.78,2026-04-16
user_0108,Apartment Deposit,53699.7,8836.2,258.09,2026-01-20
user_0109,Travel,18117.39,8150.59,509.33,2025-09-06
user_0110,Apartment Deposit,90566.05,37327.14,483.22,2026-02-03
user_0111,New Laptop,4132.77,667.72,401.8,2026-01-08
user_0112,Apartment Deposit,128395.57,31333.77,890.46,2026-01-22
user_0113,New Laptop,5258.71,2175.56,446.0,2025-11-04
user_0113,Car,16478.28,4031.32,517.72,2026-06-03
user_0114,Wedding,88401.18,26388.39,376.75,2026-01-09
user_0114,Emergency Fund,30608.97,1710.53,497.88,2026-04-16
user_0117,Wedding,39566.08,16647.58,346.75,2026-03-22
user_0118,Apartment Deposit,89389.31,25660.97,342.75,2026-04-27
user_0119,Travel,4434.45,1860.28,353.69,2026-04-28
user_0120,Car,32771.77,6746.31,1024.49,2025-11-09
